地块名称,地块类型,年份,季节,作物编号,作物名称,种植面积(亩),播种月,收获月
A1,平旱地,2024,1,4,绿豆,80.0,4,9
A1,平旱地,2025,1,5,爬豆,6.36,4,9
A1,平旱地,2025,1,7,玉米,73.64,4,9
A1,平旱地,2026,1,7,玉米,80.0,4,9
A1,平旱地,2027,1,4,绿豆,17.08,4,9
A1,平旱地,2027,1,6,小麦,62.92,4,9
A1,平旱地,2028,1,7,玉米,80.0,4,9
A1,平旱地,2029,1,4,绿豆,4.95,4,9
A1,平旱地,2029,1,7,玉米,71.58,4,9
A1,平旱地,2029,1,10,黍子,3.46,4,9
A1,平旱地,2030,1,4,绿豆,3.6,4,9
A1,平旱地,2030,1,6,小麦,45.62,4,9
A1,平旱地,2030,1,7,玉米,30.78,4,9
A2,平旱地,2024,1,6,小麦,55.0,4,9
A2,平旱地,2025,1,6,小麦,55.0,4,9
A2,平旱地,2026,1,9,高粱,33.32,4,9
A2,平旱地,2026,1,13,红薯,21.68,4,9
A2,平旱地,2027,1,3,红豆,17.23,4,9
A2,平旱地,2027,1,4,绿豆,18.21,4,9
A2,平旱地,2027,1,6,小麦,4.35,4,9
A2,平旱地,2027,1,9,高粱,3.93,4,9
A2,平旱地,2027,1,14,莜麦,11.28,4,9
A2,平旱地,2028,1,6,小麦,55.0,4,9
A2,平旱地,2029,1,6,小麦,55.0,4,9
A2,平旱地,2030,1,2,黑豆,41.56,4,9
A2,平旱地,2030,1,6,小麦,6.65,4,9
A2,平旱地,2030,1,9,高粱,6.79,4,9
A3,平旱地,2024,1,4,绿豆,12.36,4,9
A3,平旱地,2024,1,11,荞麦,22.64,4,9
A3,平旱地,2025,1,4,绿豆,19.01,4,9
A3,平旱地,2025,1,11,荞麦,15.99,4,9
A3,平旱地,2026,1,11,荞麦,35.0,4,9
A3,平旱地,2027,1,11,荞麦,35.0,4,9
A3,平旱地,2028,1,4,绿豆,20.72,4,9
A3,平旱地,2028,1,11,荞麦,14.28,4,9
A3,平旱地,2029,1,4,绿豆,6.09,4,9
A3,平旱地,2029,1,6,小麦,28.91,4,9
A3,平旱地,2030,1,4,绿豆,35.0,4,9
A4,平旱地,2024,1,8,谷子,69.13,4,9
A4,平旱地,2024,1,9,高粱,2.87,4,9
A4,平旱地,2025,1,8,谷子,72.0,4,9
A4,平旱地,2026,1,4,绿豆,59.82,4,9
A4,平旱地,2026,1,5,爬豆,7.05,4,9
A4,平旱地,2026,1,9,高粱,5.13,4,9
A4,平旱地,2027,1,2,黑豆,29.34,4,9
A4,平旱地,2027,1,9,高粱,30.15,4,9
A4,平旱地,2027,1,12,南瓜,12.51,4,9
A4,平旱地,2028,1,8,谷子,21.86,4,9
A4,平旱地,2028,1,9,高粱,50.14,4,9
A4,平旱地,2029,1,4,绿豆,4.59,4,9
A4,平旱地,2029,1,8,谷子,67.41,4,9
A4,平旱地,2030,1,8,谷子,72.0,4,9
A5,平旱地,2024,1,7,玉米,68.0,4,9
A5,平旱地,2025,1,7,玉米,68.0,4,9
A5,平旱地,2026,1,6,小麦,57.84,4,9
A5,平旱地,2026,1,7,玉米,10.16,4,9
A5,平旱地,2027,1,7,玉米,68.0,4,9
A5,平旱地,2028,1,3,红豆,55.72,4,9
A5,平旱地,2028,1,4,绿豆,8.84,4,9
A5,平旱地,2028,1,7,玉米,3.44,4,9
A5,平旱地,2029,1,3,红豆,19.34,4,9
A5,平旱地,2029,1,4,绿豆,11.3,4,9
A5,平旱地,2029,1,8,谷子,37.36,4,9
A5,平旱地,2030,1,7,玉米,68.0,4,9
A6,平旱地,2024,1,9,高粱,55.0,4,9
A6,平旱地,2025,1,4,绿豆,55.0,4,9
A6,平旱地,2026,1,7,玉米,55.0,4,9
A6,平旱地,2027,1,7,玉米,55.0,4,9
A6,平旱地,2028,1,4,绿豆,22.0,4,9
A6,平旱地,2028,1,7,玉米,15.34,4,9
A6,平旱地,2028,1,8,谷子,17.66,4,9
A6,平旱地,2029,1,7,玉米,55.0,4,9
A6,平旱地,2030,1,7,玉米,50.66,4,9
A6,平旱地,2030,1,10,黍子,4.34,4,9
B1,梯田,2024,1,3,红豆,25.66,4,9
B1,梯田,2024,1,8,谷子,34.34,4,9
B1,梯田,2025,1,2,黑豆,13.75,4,9
B1,梯田,2025,1,8,谷子,46.25,4,9
B1,梯田,2026,1,8,谷子,60.0,4,9
B1,梯田,2027,1,8,谷子,51.41,4,9
B1,梯田,2027,1,10,黍子,8.59,4,9
B1,梯田,2028,1,8,谷子,21.54,4,9
B1,梯田,2028,1,11,荞麦,38.46,4,9
B1,梯田,2029,1,2,黑豆,44.59,4,9
B1,梯田,2029,1,10,黍子,15.41,4,9
B1,梯田,2030,1,8,谷子,38.46,4,9
B1,梯田,2030,1,10,黍子,21.54,4,9
B10,梯田,2024,1,11,荞麦,25.0,4,9
B10,梯田,2025,1,8,谷子,19.75,4,9
B10,梯田,2025,1,11,荞麦,5.25,4,9
B10,梯田,2026,1,11,荞麦,25.0,4,9
B10,梯田,2027,1,2,黑豆,19.4,4,9
B10,梯田,2027,1,11,荞麦,5.6,4,9
B10,梯田,2028,1,11,荞麦,25.0,4,9
B10,梯田,2029,1,2,黑豆,0.6,4,9
B10,梯田,2029,1,8,谷子,5.25,4,9
B10,梯田,2029,1,11,荞麦,19.15,4,9
B10,梯田,2030,1,3,红豆,15.0,4,9
B10,梯田,2030,1,8,谷子,10.0,4,9
B11,梯田,2024,1,6,小麦,44.5,4,9
B11,梯田,2024,1,12,南瓜,15.5,4,9
B11,梯田,2025,1,6,小麦,60.0,4,9
B11,梯田,2026,1,2,黑豆,50.14,4,9
B11,梯田,2026,1,4,绿豆,7.65,4,9
B11,梯田,2026,1,11,荞麦,2.22,4,9
B11,梯田,2027,1,6,小麦,60.0,4,9
B11,梯田,2028,1,6,小麦,53.71,4,9
B11,梯田,2028,1,8,谷子,6.29,4,9
B11,梯田,2029,1,8,谷子,60.0,4,9
B11,梯田,2030,1,3,红豆,26.22,4,9
B11,梯田,2030,1,6,小麦,33.78,4,9
B12,梯田,2024,1,5,爬豆,3.01,4,9
B12,梯田,2024,1,8,谷子,41.99,4,9
B12,梯田,2025,1,5,爬豆,18.28,4,9
B12,梯田,2025,1,8,谷子,19.86,4,9
B12,梯田,2025,1,9,高粱,6.86,4,9
B12,梯田,2026,1,5,爬豆,16.24,4,9
B12,梯田,2026,1,6,小麦,1.97,4,9
B12,梯田,2026,1,8,谷子,26.79,4,9
B12,梯田,2027,1,8,谷子,45.0,4,9
B12,梯田,2028,1,8,谷子,45.0,4,9
B12,梯田,2029,1,5,爬豆,25.46,4,9
B12,梯田,2029,1,9,高粱,19.54,4,9
B12,梯田,2030,1,6,小麦,34.64,4,9
B12,梯田,2030,1,8,谷子,10.36,4,9
B13,梯田,2024,1,7,玉米,35.0,4,9
B13,梯田,2025,1,6,小麦,35.0,4,9
B13,梯田,2026,1,4,绿豆,21.0,4,9
B13,梯田,2026,1,14,莜麦,14.0,4,9
B13,梯田,2027,1,4,绿豆,6.35,4,9
B13,梯田,2027,1,5,爬豆,21.65,4,9
B13,梯田,2027,1,6,小麦,7.0,4,9
B13,梯田,2028,1,6,小麦,35.0,4,9
B13,梯田,2029,1,6,小麦,35.0,4,9
B13,梯田,2030,1,6,小麦,35.0,4,9
B14,梯田,2024,1,6,小麦,20.0,4,9
B14,梯田,2025,1,9,高粱,20.0,4,9
B14,梯田,2026,1,10,黍子,20.0,4,9
B14,梯田,2027,1,9,高粱,20.0,4,9
B14,梯田,2028,1,3,红豆,7.86,4,9
B14,梯田,2028,1,6,小麦,12.14,4,9
B14,梯田,2029,1,3,红豆,20.0,4,9
B14,梯田,2030,1,3,红豆,0.14,4,9
B14,梯田,2030,1,9,高粱,19.86,4,9
B2,梯田,2024,1,7,玉米,21.88,4,9
B2,梯田,2024,1,8,谷子,24.12,4,9
B2,梯田,2025,1,3,红豆,30.65,4,9
B2,梯田,2025,1,8,谷子,15.35,4,9
B2,梯田,2026,1,3,红豆,30.26,4,9
B2,梯田,2026,1,8,谷子,15.74,4,9
B2,梯田,2027,1,8,谷子,46.0,4,9
B2,梯田,2028,1,8,谷子,46.0,4,9
B2,梯田,2029,1,3,红豆,3.48,4,9
B2,梯田,2029,1,7,玉米,42.52,4,9
B2,梯田,2030,1,8,谷子,46.0,4,9
B3,梯田,2024,1,2,黑豆,12.57,4,9
B3,梯田,2024,1,6,小麦,1.49,4,9
B3,梯田,2024,1,13,红薯,19.11,4,9
B3,梯田,2024,1,14,莜麦,6.82,4,9
B3,梯田,2025,1,2,黑豆,21.34,4,9
B3,梯田,2025,1,13,红薯,18.63,4,9
B3,梯田,2025,1,14,莜麦,0.03,4,9
B3,梯田,2026,1,6,小麦,40.0,4,9
B3,梯田,2027,1,6,小麦,21.35,4,9
B3,梯田,2027,1,13,红薯,18.65,4,9
B3,梯田,2028,1,2,黑豆,22.09,4,9
B3,梯田,2028,1,13,红薯,17.91,4,9
B3,梯田,2029,1,6,小麦,22.32,4,9
B3,梯田,2029,1,13,红薯,17.68,4,9
B3,梯田,2030,1,6,小麦,22.53,4,9
B3,梯田,2030,1,13,红薯,17.47,4,9
B4,梯田,2024,1,8,谷子,4.68,4,9
B4,梯田,2024,1,10,黍子,23.32,4,9
B4,梯田,2025,1,4,绿豆,16.8,4,9
B4,梯田,2025,1,10,黍子,11.2,4,9
B4,梯田,2026,1,6,小麦,28.0,4,9
B4,梯田,2027,1,6,小麦,28.0,4,9
B4,梯田,2028,1,4,绿豆,22.4,4,9
B4,梯田,2028,1,6,小麦,5.6,4,9
B4,梯田,2029,1,6,小麦,28.0,4,9
B4,梯田,2030,1,6,小麦,28.0,4,9
B5,梯田,2024,1,2,黑豆,25.0,4,9
B5,梯田,2025,1,2,黑豆,10.0,4,9
B5,梯田,2025,1,6,小麦,12.45,4,9
B5,梯田,2025,1,8,谷子,2.55,4,9
B5,梯田,2026,1,7,玉米,4.52,4,9
B5,梯田,2026,1,10,黍子,8.09,4,9
B5,梯田,2026,1,12,南瓜,12.39,4,9
B5,梯田,2027,1,6,小麦,20.65,4,9
B5,梯田,2027,1,10,黍子,4.35,4,9
B5,梯田,2028,1,6,小麦,21.9,4,9
B5,梯田,2028,1,7,玉米,3.1,4,9
B5,梯田,2029,1,6,小麦,25.0,4,9
B5,梯田,2030,1,6,小麦,25.0,4,9
B6,梯田,2024,1,5,爬豆,10.35,4,9
B6,梯田,2024,1,11,荞麦,75.65,4,9
B6,梯田,2025,1,11,荞麦,86.0,4,9
B6,梯田,2026,1,8,谷子,84.7,4,9
B6,梯田,2026,1,14,莜麦,1.3,4,9
B6,梯田,2027,1,7,玉米,62.34,4,9
B6,梯田,2027,1,11,荞麦,23.66,4,9
B6,梯田,2028,1,4,绿豆,18.48,4,9
B6,梯田,2028,1,5,爬豆,22.69,4,9
B6,梯田,2028,1,10,黍子,27.46,4,9
B6,梯田,2028,1,11,荞麦,17.37,4,9
B6,梯田,2029,1,6,小麦,86.0,4,9
B6,梯田,2030,1,4,绿豆,46.58,4,9
B6,梯田,2030,1,5,爬豆,22.3,4,9
B6,梯田,2030,1,11,荞麦,17.12,4,9
B7,梯田,2024,1,3,红豆,19.29,4,9
B7,梯田,2024,1,5,爬豆,2.08,4,9
B7,梯田,2024,1,7,玉米,21.29,4,9
B7,梯田,2024,1,11,荞麦,12.35,4,9
B7,梯田,2025,1,6,小麦,55.0,4,9
B7,梯田,2026,1,7,玉米,6.19,4,9
B7,梯田,2026,1,11,荞麦,48.81,4,9
B7,梯田,2027,1,4,绿豆,0.64,4,9
B7,梯田,2027,1,8,谷子,52.19,4,9
B7,梯田,2027,1,11,荞麦,2.17,4,9
B7,梯田,2028,1,7,玉米,55.0,4,9
B7,梯田,2029,1,4,绿豆,55.0,4,9
B7,梯田,2030,1,7,玉米,55.0,4,9
B8,梯田,2024,1,3,红豆,17.6,4,9
B8,梯田,2024,1,6,小麦,7.53,4,9
B8,梯田,2024,1,11,荞麦,18.87,4,9
B8,梯田,2025,1,6,小麦,1.27,4,9
B8,梯田,2025,1,11,荞麦,42.73,4,9
B8,梯田,2026,1,6,小麦,44.0,4,9
B8,梯田,2027,1,4,绿豆,44.0,4,9
B8,梯田,2028,1,6,小麦,44.0,4,9
B8,梯田,2029,1,6,小麦,44.0,4,9
B8,梯田,2030,1,6,小麦,44.0,4,9
B9,梯田,2024,1,6,小麦,50.0,4,9
B9,梯田,2025,1,3,红豆,28.71,4,9
B9,梯田,2025,1,6,小麦,11.26,4,9
B9,梯田,2025,1,14,莜麦,10.03,4,9
B9,梯田,2026,1,6,小麦,50.0,4,9
B9,梯田,2027,1,3,红豆,1.26,4,9
B9,梯田,2027,1,6,小麦,48.74,4,9
B9,梯田,2028,1,2,黑豆,26.07,4,9
B9,梯田,2028,1,8,谷子,10.43,4,9
B9,梯田,2028,1,12,南瓜,13.5,4,9
B9,梯田,2029,1,3,红豆,13.96,4,9
B9,梯田,2029,1,8,谷子,9.32,4,9
B9,梯田,2029,1,14,莜麦,26.72,4,9
B9,梯田,2030,1,6,小麦,50.0,4,9
C1,山坡地,2024,1,2,黑豆,9.58,4,9
C1,山坡地,2024,1,5,爬豆,5.42,4,9
C1,山坡地,2025,1,6,小麦,15.0,4,9
C1,山坡地,2026,1,6,小麦,15.0,4,9
C1,山坡地,2027,1,5,爬豆,1.37,4,9
C1,山坡地,2027,1,10,黍子,13.63,4,9
C1,山坡地,2028,1,6,小麦,15.0,4,9
C1,山坡地,2029,1,6,小麦,7.63,4,9
C1,山坡地,2029,1,10,黍子,7.37,4,9
C1,山坡地,2030,1,2,黑豆,4.63,4,9
C1,山坡地,2030,1,6,小麦,10.37,4,9
C2,山坡地,2024,1,4,绿豆,1.36,4,9
C2,山坡地,2024,1,6,小麦,6.44,4,9
C2,山坡地,2024,1,14,莜麦,5.2,4,9
C2,山坡地,2025,1,6,小麦,13.0,4,9
C2,山坡地,2026,1,14,莜麦,13.0,4,9
C2,山坡地,2027,1,4,绿豆,3.84,4,9
C2,山坡地,2027,1,6,小麦,9.16,4,9
C2,山坡地,2028,1,6,小麦,13.0,4,9
C2,山坡地,2029,1,4,绿豆,13.0,4,9
C2,山坡地,2030,1,6,小麦,13.0,4,9
C3,山坡地,2024,1,5,爬豆,2.84,4,9
C3,山坡地,2024,1,8,谷子,12.16,4,9
C3,山坡地,2025,1,5,爬豆,0.58,4,9
C3,山坡地,2025,1,12,南瓜,14.42,4,9
C3,山坡地,2026,1,7,玉米,15.0,4,9
C3,山坡地,2027,1,3,红豆,15.0,4,9
C3,山坡地,2028,1,7,玉米,15.0,4,9
C3,山坡地,2029,1,8,谷子,0.19,4,9
C3,山坡地,2029,1,12,南瓜,14.81,4,9
C3,山坡地,2030,1,3,红豆,1.99,4,9
C3,山坡地,2030,1,5,爬豆,0.59,4,9
C3,山坡地,2030,1,12,南瓜,12.42,4,9
C4,山坡地,2024,1,6,小麦,14.73,4,9
C4,山坡地,2024,1,10,黍子,3.27,4,9
C4,山坡地,2025,1,6,小麦,1.64,4,9
C4,山坡地,2025,1,10,黍子,16.36,4,9
C4,山坡地,2026,1,6,小麦,18.0,4,9
C4,山坡地,2027,1,3,红豆,7.2,4,9
C4,山坡地,2027,1,6,小麦,10.8,4,9
C4,山坡地,2028,1,6,小麦,18.0,4,9
C4,山坡地,2029,1,6,小麦,12.43,4,9
C4,山坡地,2029,1,9,高粱,5.57,4,9
C4,山坡地,2030,1,3,红豆,18.0,4,9
C5,山坡地,2024,1,6,小麦,27.0,4,9
C5,山坡地,2025,1,9,高粱,27.0,4,9
C5,山坡地,2026,1,3,红豆,10.8,4,9
C5,山坡地,2026,1,6,小麦,2.24,4,9
C5,山坡地,2026,1,9,高粱,13.96,4,9
C5,山坡地,2027,1,3,红豆,27.0,4,9
C5,山坡地,2028,1,6,小麦,27.0,4,9
C5,山坡地,2029,1,9,高粱,27.0,4,9
C5,山坡地,2030,1,9,高粱,27.0,4,9
C6,山坡地,2024,1,14,莜麦,20.0,4,9
C6,山坡地,2025,1,14,莜麦,20.0,4,9
C6,山坡地,2026,1,3,红豆,20.0,4,9
C6,山坡地,2027,1,14,莜麦,20.0,4,9
C6,山坡地,2028,1,7,玉米,20.0,4,9
C6,山坡地,2029,1,3,红豆,8.0,4,9
C6,山坡地,2029,1,7,玉米,12.0,4,9
C6,山坡地,2030,1,6,小麦,20.0,4,9
D1,水浇地,2024,1,17,豇豆,4.18,3,6
D1,水浇地,2024,1,18,刀豆,4.7,3,6
D1,水浇地,2024,1,19,芸豆,1.96,3,6
D1,水浇地,2024,1,27,油麦菜,0.81,3,6
D1,水浇地,2024,1,29,黄瓜,3.0,3,6
D1,水浇地,2024,1,32,空心菜,0.35,3,6
D1,水浇地,2024,2,17,豇豆,12.0,7,10
D1,水浇地,2024,2,29,黄瓜,3.0,7,10
D1,水浇地,2025,1,18,刀豆,4.16,3,6
D1,水浇地,2025,1,32,空心菜,10.84,3,6
D1,水浇地,2025,2,32,空心菜,15.0,7,10
D1,水浇地,2026,1,17,豇豆,15.0,3,6
D1,水浇地,2026,2,32,空心菜,15.0,7,10
D1,水浇地,2027,1,29,黄瓜,15.0,3,6
D1,水浇地,2027,2,29,黄瓜,15.0,7,10
D1,水浇地,2028,1,29,黄瓜,15.0,3,6
D1,水浇地,2028,2,29,黄瓜,15.0,7,10
D1,水浇地,2029,1,29,黄瓜,15.0,3,6
D1,水浇地,2029,2,29,黄瓜,15.0,7,10
D1,水浇地,2030,1,29,黄瓜,15.0,3,6
D1,水浇地,2030,2,29,黄瓜,15.0,7,10
D2,水浇地,2024,1,17,豇豆,9.01,3,6
D2,水浇地,2024,1,29,黄瓜,0.99,3,6
D2,水浇地,2024,2,17,豇豆,8.0,7,10
D2,水浇地,2024,2,29,黄瓜,2.0,7,10
D2,水浇地,2025,1,17,豇豆,0.99,3,6
D2,水浇地,2025,1,29,黄瓜,1.01,3,6
D2,水浇地,2025,1,32,空心菜,8.0,3,6
D2,水浇地,2025,2,32,空心菜,10.0,7,10
D2,水浇地,2026,1,17,豇豆,10.0,3,6
D2,水浇地,2026,2,32,空心菜,10.0,7,10
D2,水浇地,2027,1,29,黄瓜,10.0,3,6
D2,水浇地,2027,2,29,黄瓜,10.0,7,10
D2,水浇地,2028,1,29,黄瓜,10.0,3,6
D2,水浇地,2028,2,29,黄瓜,10.0,7,10
D2,水浇地,2029,1,29,黄瓜,10.0,3,6
D2,水浇地,2029,2,29,黄瓜,10.0,7,10
D2,水浇地,2030,1,29,黄瓜,10.0,3,6
D2,水浇地,2030,2,29,黄瓜,10.0,7,10
D3,水浇地,2024,1,17,豇豆,11.2,3,6
D3,水浇地,2024,1,29,黄瓜,2.8,3,6
D3,水浇地,2024,2,17,豇豆,11.2,7,10
D3,水浇地,2024,2,29,黄瓜,2.8,7,10
D3,水浇地,2025,1,32,空心菜,14.0,3,6
D3,水浇地,2025,2,32,空心菜,14.0,7,10
D3,水浇地,2026,1,17,豇豆,2.8,3,6
D3,水浇地,2026,1,32,空心菜,11.2,3,6
D3,水浇地,2026,2,17,豇豆,14.0,7,10
D3,水浇地,2027,1,29,黄瓜,14.0,3,6
D3,水浇地,2027,2,29,黄瓜,14.0,7,10
D3,水浇地,2028,1,29,黄瓜,14.0,3,6
D3,水浇地,2028,2,29,黄瓜,14.0,7,10
D3,水浇地,2029,1,29,黄瓜,14.0,3,6
D3,水浇地,2029,2,29,黄瓜,14.0,7,10
D3,水浇地,2030,1,29,黄瓜,14.0,3,6
D3,水浇地,2030,2,29,黄瓜,14.0,7,10
D4,水浇地,2024,1,17,豇豆,4.19,3,6
D4,水浇地,2024,1,29,黄瓜,1.54,3,6
D4,水浇地,2024,1,30,生菜 ,0.27,3,6
D4,水浇地,2024,2,29,黄瓜,6.0,7,10
D4,水浇地,2025,1,32,空心菜,6.0,3,6
D4,水浇地,2025,2,19,芸豆,1.81,7,10
D4,水浇地,2025,2,22,茄子,4.19,7,10
D4,水浇地,2026,1,32,空心菜,6.0,3,6
D4,水浇地,2026,2,17,豇豆,6.0,7,10
D4,水浇地,2027,1,29,黄瓜,6.0,3,6
D4,水浇地,2027,2,18,刀豆,1.29,7,10
D4,水浇地,2027,2,19,芸豆,1.72,7,10
D4,水浇地,2027,2,29,黄瓜,2.98,7,10
D4,水浇地,2028,1,29,黄瓜,5.66,3,6
D4,水浇地,2028,1,32,空心菜,0.34,3,6
D4,水浇地,2028,2,19,芸豆,1.78,7,10
D4,水浇地,2028,2,29,黄瓜,4.22,7,10
D4,水浇地,2029,1,29,黄瓜,6.0,3,6
D4,水浇地,2029,2,29,黄瓜,6.0,7,10
D4,水浇地,2030,1,29,黄瓜,6.0,3,6
D4,水浇地,2030,2,29,黄瓜,6.0,7,10
D5,水浇地,2024,1,17,豇豆,8.0,3,6
D5,水浇地,2024,1,29,黄瓜,2.0,3,6
D5,水浇地,2024,2,22,茄子,0.38,7,10
D5,水浇地,2024,2,29,黄瓜,9.62,7,10
D5,水浇地,2025,1,32,空心菜,10.0,3,6
D5,水浇地,2025,2,32,空心菜,10.0,7,10
D5,水浇地,2026,1,17,豇豆,10.0,3,6
D5,水浇地,2026,2,17,豇豆,8.01,7,10
D5,水浇地,2026,2,19,芸豆,1.99,7,10
D5,水浇地,2027,1,29,黄瓜,10.0,3,6
D5,水浇地,2027,2,29,黄瓜,10.0,7,10
D5,水浇地,2028,1,29,黄瓜,10.0,3,6
D5,水浇地,2028,2,29,黄瓜,10.0,7,10
D5,水浇地,2029,1,29,黄瓜,10.0,3,6
D5,水浇地,2029,2,29,黄瓜,10.0,7,10
D5,水浇地,2030,1,29,黄瓜,10.0,3,6
D5,水浇地,2030,2,22,茄子,7.31,7,10
D5,水浇地,2030,2,29,黄瓜,2.38,7,10
D5,水浇地,2030,2,32,空心菜,0.31,7,10
D6,水浇地,2024,1,18,刀豆,7.82,3,6
D6,水浇地,2024,1,22,茄子,1.78,3,6
D6,水浇地,2024,1,29,黄瓜,2.4,3,6
D6,水浇地,2024,2,29,黄瓜,12.0,7,10
D6,水浇地,2025,1,18,刀豆,7.4,3,6
D6,水浇地,2025,1,26,包菜,0.8,3,6
D6,水浇地,2025,1,32,空心菜,3.79,3,6
D6,水浇地,2025,2,32,空心菜,12.0,7,10
D6,水浇地,2026,1,17,豇豆,12.0,3,6
D6,水浇地,2026,2,17,豇豆,1.63,7,10
D6,水浇地,2026,2,29,黄瓜,1.05,7,10
D6,水浇地,2026,2,32,空心菜,9.32,7,10
D6,水浇地,2027,1,29,黄瓜,12.0,3,6
D6,水浇地,2027,2,17,豇豆,4.75,7,10
D6,水浇地,2027,2,22,茄子,5.9,7,10
D6,水浇地,2027,2,29,黄瓜,1.35,7,10
D6,水浇地,2028,1,29,黄瓜,12.0,3,6
D6,水浇地,2028,2,29,黄瓜,12.0,7,10
D6,水浇地,2029,1,29,黄瓜,12.0,3,6
D6,水浇地,2029,2,29,黄瓜,12.0,7,10
D6,水浇地,2030,1,29,黄瓜,12.0,3,6
D6,水浇地,2030,2,29,黄瓜,12.0,7,10
D7,水浇地,2024,1,29,黄瓜,22.0,3,6
D7,水浇地,2024,2,17,豇豆,11.56,7,10
D7,水浇地,2024,2,22,茄子,3.08,7,10
D7,水浇地,2024,2,29,黄瓜,7.35,7,10
D7,水浇地,2025,1,32,空心菜,22.0,3,6
D7,水浇地,2025,2,32,空心菜,22.0,7,10
D7,水浇地,2026,1,17,豇豆,0.69,3,6
D7,水浇地,2026,1,18,刀豆,13.71,3,6
